"Theme","Index","Article","Author","Venue","Date","Method","Dataset","Metric","Novelty","Result","Link","Code","Baselines","Models","Others","Evaluation Methods","Pillar","Command_freeform","Real_time","Multi_agent","Budget_aware","Executor_type"
"1. Free-form / abstract command","1","Complex Instruction Following with Diverse Style Policies in Football Games (LCDSP)","Chenglu Sun et al.","AAAI 2026","2025-11-25","Diverse Style Training modulates behaviour via continuous style params; a Style Interpreter maps free-form language to those params","5v5 football game env","—","Language-controlled RL that follows abstract tactical STYLES ('prioritize defence, counterattack'), not just task outcomes","—","https://arxiv.org/abs/2511.19885","—","—","—","Closest analogue to abstract intent ('focus on defense') in a real-time multi-agent team game","Experiments in 5v5 football: abstract-instruction comprehension + diverse-style execution","Command","yes","yes","yes","no","game-units"
"1. Free-form / abstract command","2","Adaptive Command: Real-Time Policy Adjustment via Language Models in StarCraft II","Weiyu Ma et al.","arXiv / ICDAI 2024","2025-08-05","LLM strategic advisor + behaviour tree for execution + NL/speech interface to adjust SC2 strategy in real time","StarCraft II","User-study decision quality / adaptability","Real-time language-driven COACH-MODE adjustment of an RTS policy; LLM reasons, behaviour tree executes","— (significant gains reported; no numbers in abstract)","https://arxiv.org/abs/2508.16580","—","—","LLM + behaviour trees (LLM unspecified)","Most direct precedent — NL real-time command of an SC2 policy","User studies of human-AI real-time SC2 decision-making","Command","yes","yes","yes","no","game-units"
"1. Free-form / abstract command","3","Natural Language-conditioned RL with Inside-out Task Language Development and Translation (TALAR)","Jing-Cheng Pang et al. (Nanjing Univ.)","NeurIPS 2023","2023-02-18","Learn a predicate-based intermediate 'task language'; a translator maps free-form NL into it, decoupling comprehension from policy","—","Success rate; adaptability to unseen NL","Compact task-language intermediate improves instruction-following + generalization to novel phrasings","~13.4% success-rate improvement over baselines","https://arxiv.org/abs/2302.09368","—","— (unnamed)","Predicate-based task language (TALAR)","Robustly grounding varied free-form phrasings into agent goals","RL experiments: success + generalization to unseen instructions","Command","yes","no","no","no","other"
"1. Free-form / abstract command","4","Building Open-Ended Embodied Agent via Language-Policy Bidirectional Adaptation (OpenPAL)","Shaopeng Zhai et al.","arXiv","2023-12-12","Two-stage co-training: fine-tune LLM to map free-form instructions to goals + goal-conditioned policy; align via bidirectional adaptation","'Contra' open-ended FPS game","—","Instruction open-endedness: comprehends ARBITRARY free-form instructions (not a fixed set)","— (no numbers in abstract)","https://arxiv.org/abs/2401.00006","—","—","LLM (instruction->goal) + goal-conditioned RL policy","Open-vocabulary instruction->goal in a real-time game","Tested in Contra FPS for comprehension + execution efficiency","Command","yes","yes","no","no","game-units"
"1. Free-form / abstract command","5","Scaling Instructable Agents Across Many Simulated Worlds (SIMA)","SIMA Team, Google DeepMind (90+ authors)","arXiv","2024-03-13","Train embodied agents to follow free-form language across many 3D worlds via a human-like interface (image+language in, keyboard/mouse out)","Research 3D envs + multiple commercial games","—","Single agent grounds ARBITRARY language to perception+action across many 3D games","— (preliminary; no headline numbers)","https://arxiv.org/abs/2404.10179","—","—","—","Open-vocab real-time instruction following in commercial games — the interface paradigm we envision","Real-time interaction across many 3D games via human-like I/O","Command","yes","yes","no","no","game-units"
"1. Free-form / abstract command","6","STEVE-1: A Generative Model for Text-to-Behavior in Minecraft","Shalev Lifshitz et al. (Toronto / Vector)","NeurIPS 2023","2023-06-01","Instruction-tune VPT to follow commands in MineCLIP latent space, then train a text->latent prior; self-supervised BC + hindsight relabeling","Minecraft (MineCLIP early-game suite)","Task completion rate","Instruction-tunes a generative behaviour model to follow open-ended text without large instruction-labeled trajectories (~$60 compute)","Completes 12/13 early-game tasks; far outperforms prior baselines","https://arxiv.org/abs/2306.00937","https://github.com/Shalev-Lifshitz/STEVE-1","— (prior Minecraft instruction-following)","VPT backbone + MineCLIP","Open-ended text->low-level keyboard/mouse behaviour from raw pixels","Early-game task-completion suite, low-level controls, pixel inputs","Executor","yes","no","no","yes","game-units"
"1. Free-form / abstract command","7","Grounding Natural Language Commands to StarCraft II Game States for Narration-Guided RL","Nicholas Waytowich et al. (US Army Research Lab)","SPIE 2019","2019-06-06","Learn a mutual-embedding projecting NL commands + SC2 goal-states into a shared space; 'narration' indicates sub-goals to densify reward","StarCraft II (PySC2 / SC2LE)","—","Early demo of embedding free-form NL commands with high-dim RTS game states to guide RL under sparse reward","—","https://arxiv.org/abs/1906.02671","—","—","Deep mutual-embedding (state + language encoders)","Earliest precedent for grounding NL commands in SC2 for RL","Embedding-based grounding used for narration-guided rewards in SC2","Command","yes","no","yes","no","game-units"
"2. Action models / LLM-steered actions","8","RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control","Anthony Brohan et al. (Google DeepMind)","CoRL 2023","2023-07-28","Co-fine-tune a VLM on robot trajectories + web VQA; emit robot actions as text tokens from the same AR head (token-as-action)","Robot trajectories + internet vision-language","Success; generalization over 6,000 trials","Single VLA folding action tokens into the language vocab; transfers web knowledge to closed-loop control","6,000 trials; improved generalization + unseen-command interpretation (exact numbers not on abstract)","https://arxiv.org/abs/2307.15818","— (robotics-transformer2.github.io)","—","PaLI-X / PaLM-E","Canonical token-as-action VLA — encoding commands as action tokens","Real-robot trials: generalization, semantic + multi-stage reasoning","Executor","yes","no","no","no","robot"
"2. Action models / LLM-steered actions","9","Do As I Can, Not As I Say: Grounding Language in Robotic Affordances (SayCan)","Michael Ahn et al. (Google / Everyday Robots)","CoRL 2022","2022-04-04","LLM scores candidate skills for usefulness; a value function scores affordance (feasibility); product picks the next skill","101 real kitchen tasks; long-horizon abstract instructions","Task / plan success rate","Constrains LLM proposals to executable, feasible actions (LLM x affordance); LLM as high-level selector over a fixed skill set","Affordance grounding ~doubles performance vs non-grounded (exact numbers not on abstract)","https://arxiv.org/abs/2204.01691","— (say-can.github.io)","Non-grounded LLM baseline","LLMs incl. PaLM","Cleanest template: abstract intent ('focus on defense') -> constrained high-level skill selection","Real-robot execution of long-horizon NL instructions","Executor","yes","no","no","no","robot"
"2. Action models / LLM-steered actions","10","Code as Policies: Language Model Programs for Embodied Control","Jacky Liang et al. (Google Robotics)","ICRA 2023","2022-09-16","Prompt a code LLM to write Python policy code (loops, conditionals, API calls) from NL; hierarchical code-gen defines new functions on the fly","HumanEval; robot manipulation/navigation/drawing demos","HumanEval pass rate; task success","Code-as-action: the LLM output is an executable program over an API; generalization, interpretability, reactive logic without extra training","39.8% on HumanEval; working reactive + waypoint policies on multiple robots","https://arxiv.org/abs/2209.07753","— (code-as-policies.github.io)","—","GPT-3 / Codex (per project)","'LLM emits programs/API calls as actions' — apt for structured macro-commands to crowds","HumanEval + real/sim robot task demos","Executor","yes","no","no","no","robot"
